DateTime,usage,hour,dayofweek,anomaly_score,is_anomaly
2013-01-11 05:30:00,0.446,5,4,1,False
2013-01-11 06:00:00,0.244,6,4,1,False
2013-01-11 06:30:00,0.257,6,4,1,False
2013-01-11 07:00:00,0.187,7,4,1,False
2013-01-11 07:30:00,1.5880001,7,4,1,False
2013-01-11 08:00:00,1.937,8,4,1,False
2013-01-11 08:30:00,0.902,8,4,1,False
2013-01-11 09:00:00,0.216,9,4,1,False
2013-01-11 09:30:00,0.177,9,4,1,False
2013-01-11 10:00:00,0.27,10,4,1,False
2013-01-11 10:30:00,0.298,10,4,1,False
2013-01-11 11:00:00,0.498,11,4,1,False
2013-01-11 11:30:00,0.22,11,4,1,False
2013-01-11 12:00:00,0.239,12,4,1,False
2013-01-11 12:30:00,0.552,12,4,1,False
2013-01-11 13:00:00,0.304,13,4,1,False
2013-01-11 13:30:00,0.238,13,4,1,False
2013-01-11 14:00:00,0.634,14,4,1,False
2013-01-11 14:30:00,0.693,14,4,1,False
2013-01-11 15:00:00,0.606,15,4,1,False
2013-01-11 15:30:00,0.467,15,4,1,False
2013-01-11 16:00:00,1.323,16,4,1,False
2013-01-11 16:30:00,3.201,16,4,-1,True
2013-01-11 17:00:00,4.4809999,17,4,-1,True
2013-01-11 17:30:00,3.546,17,4,-1,True
2013-01-11 18:00:00,2.013,18,4,1,False
2013-01-11 18:30:00,1.367,18,4,1,False
2013-01-11 19:00:00,1.705,19,4,1,False
2013-01-11 19:30:00,2.352,19,4,1,False
2013-01-11 20:00:00,1.682,20,4,1,False
2013-01-11 20:30:00,1.0880001,20,4,1,False
2013-01-11 21:00:00,1.223,21,4,1,False
2013-01-11 21:30:00,1.569,21,4,1,False
2013-01-11 22:00:00,0.961,22,4,1,False
2013-01-11 22:30:00,0.999,22,4,1,False
2013-01-11 23:00:00,1.409,23,4,1,False
2013-01-11 23:30:00,1.613,23,4,1,False
2013-01-12 00:00:00,1.4529999,0,5,1,False
2013-01-12 00:30:00,0.761,0,5,1,False
2013-01-12 01:00:00,0.602,1,5,1,False
2013-01-12 01:30:00,0.44,1,5,1,False
2013-01-12 02:00:00,0.275,2,5,1,False
2013-01-12 02:30:00,0.22,2,5,1,False
2013-01-12 03:00:00,0.218,3,5,1,False
2013-01-12 03:30:00,0.173,3,5,1,False
2013-01-12 04:00:00,0.186,4,5,1,False
2013-01-12 04:30:00,0.247,4,5,1,False
2013-01-12 05:00:00,0.199,5,5,1,False
2013-01-12 05:30:00,0.22,5,5,1,False
2013-01-12 06:00:00,0.205,6,5,1,False
2013-01-12 06:30:00,0.448,6,5,1,False
2013-01-12 07:00:00,0.241,7,5,1,False
2013-01-12 07:30:00,1.591,7,5,1,False
2013-01-12 08:00:00,0.728,8,5,1,False
2013-01-12 08:30:00,0.739,8,5,1,False
2013-01-12 09:00:00,0.274,9,5,1,False
2013-01-12 09:30:00,0.173,9,5,1,False
2013-01-12 10:00:00,0.167,10,5,1,False
2013-01-12 10:30:00,0.196,10,5,1,False
2013-01-12 11:00:00,0.239,11,5,1,False
